,meanImp,medianImp,minImp,maxImp,normHits,decision
rev_Mean,3.638387338,3.582824357,0.876974467,6.200548277,0.747474747,Confirmed
mou_Mean,7.384823419,7.443005153,4.210741719,9.663690236,1,Confirmed
totmrc_Mean,5.279218668,5.222259162,2.445698888,9.045405045,0.929292929,Confirmed
da_Mean,0.628561638,0.546857451,-1.018138031,2.378662297,0,Rejected
ovrmou_Mean,0.015522673,0.293950903,-2.198242373,2.464086921,0,Rejected
ovrrev_Mean,-0.557866014,-0.457259875,-2.88982081,1.511171278,0,Rejected
vceovr_Mean,-0.780628755,-1.099085725,-1.698720926,0.79201093,0,Rejected
datovr_Mean,0.527163272,0.855084291,-0.885741624,1.839575252,0,Rejected
roam_Mean,-0.520844417,-0.76103225,-1.738285467,2.119268827,0,Rejected
rev_Range,0.295291596,0.601613202,-3.029903886,1.530293005,0,Rejected
mou_Range,4.817930675,4.631949107,1.98917221,7.966407002,0.909090909,Confirmed
totmrc_Range,0.38608078,0.438770581,-1.910104245,1.701002618,0,Rejected
da_Range,0.334838287,0.236069864,-1.318703714,1.849461977,0,Rejected
ovrmou_Range,0.185908246,0.139693982,-0.881680109,1.011635993,0,Rejected
ovrrev_Range,-0.354473414,-0.257246787,-2.60126197,1.459413489,0,Rejected
vceovr_Range,-0.354795141,-0.551101412,-1.81583385,1.031866421,0,Rejected
datovr_Range,-0.044686304,0.276958103,-3.162704445,0.967237389,0,Rejected
roam_Range,-0.019991731,0.067903753,-2.033778839,1.932679122,0,Rejected
drop_vce_Mean,0.283676238,0.228081928,-0.811767515,1.400356235,0,Rejected
drop_dat_Mean,-0.064994813,0.003732767,-1.696811072,1.241002198,0,Rejected
blck_vce_Mean,1.630515482,1.928610679,0.067736865,2.806433336,0,Rejected
blck_dat_Mean,0.374560088,0.218401008,-1.001001503,1.340306488,0,Rejected
unan_vce_Mean,-0.047754386,0.468454154,-1.70289045,1.378669817,0,Rejected
unan_dat_Mean,0.171405315,0.188640479,-1.522587371,2.054552779,0,Rejected
plcd_vce_Mean,1.124324777,1.323150775,-1.263100404,3.045977849,0.02020202,Rejected
plcd_dat_Mean,1.203202047,1.211821446,-0.678848573,3.22760851,0.04040404,Rejected
